	sample	condition	read	fragments
1	SSR11412215	mock	single	4260400
2	SSR11412216	mock	single	4175640
3	SSR11412217	mock	single	4322242
4	SSR11412218	mock	single	4245291
5	SSR11412219	mock	single	4106965
6	SSR11412220	mock	single	4027775
7	SSR11412221	mock	single	4144278
8	SSR11412222	mock	single	4032103
9	SSR11412227	COVID	single	3774499
10	SSR11412228	COVID	single	3718540
11	SSR11412229	COVID	single	3803175
12	SSR11412230	COVID	single	3735882
13	SSR11412231	COVID	single	3799735
14	SSR11412232	COVID	single	3745371
15	SSR11412233	COVID	single	3814880
16	SSR11412234	COVID	single	3748104
